  46.245    8.114 1
  46.246    8.114 1
  46.250    8.114 1
  46.253    8.110 1
  46.253    8.108 1
  46.252    8.104 1
  46.255    8.103 1
  46.255    8.102 1
  46.255    8.096 1
  46.255    8.093 1
  46.257    8.090 1
  46.258    8.088 1
  46.260    8.084 1
  46.261    8.083 1
  46.263    8.088 1
  46.265    8.088 1
  46.267    8.089 1
  46.268    8.092 1
  46.275    8.102 1
  46.278    8.105 1
  46.280    8.107 1
  46.282    8.114 1
  46.285    8.117 1
  46.287    8.119 1
  46.288    8.121 1
  46.291    8.121 1
  46.294    8.124 1
  46.295    8.126 1
  46.296    8.129 1
  46.299    8.132 1
  46.301    8.136 1
  46.302    8.137 1
  46.303    8.140 1
  46.304    8.142 1
  46.303    8.146 1
  46.302    8.149 1
  46.301    8.152 1
  46.301    8.154 1
  46.300    8.155 1
  46.299    8.156 1
  46.298    8.159 1
  46.298    8.165 1
  46.299    8.180 1
  46.300    8.184 1
  46.301    8.185 1
  46.302    8.188 1
  46.304    8.194 1
  46.303    8.200 1
  46.307    8.207 1
  46.310    8.213 1
  46.311    8.214 1
  46.313    8.214 1
  46.314    8.214 1
  46.316    8.216 1
  46.319    8.217 1
  46.321    8.217 1
  46.322    8.220 1
  46.323    8.223 1
  46.325    8.225 1
  46.327    8.226 1
  46.330    8.226 1
  46.331    8.225 1
  46.332    8.224 1
  46.334    8.224 1
  46.335    8.225 1
  46.341    8.237 1
  46.341    8.240 1
  46.341    8.243 1
  46.341    8.253 1
  46.346    8.253 1
  46.347    8.255 1
  46.346    8.258 1
  46.346    8.262 1
  46.346    8.264 1
  46.346    8.265 1
  46.348    8.265 1
  46.350    8.263 1
  46.352    8.266 1
  46.353    8.267 1
  46.354    8.267 1
  46.357    8.267 1
  46.359    8.267 1
  46.359    8.267 1
  46.360    8.267 1
  46.361    8.264 1
  46.362    8.263 1
  46.362    8.263 1
  46.363    8.263 1
  46.365    8.265 1
  46.367    8.273 1
  46.367    8.275 1
  46.364    8.285 1
  46.370    8.291 1
  46.370    8.294 1
  46.376    8.303 1
  46.376    8.306 1
  46.377    8.310 1
  46.378    8.312 1
  46.379    8.314 1
  46.381    8.316 1
  46.383    8.316 1
  46.386    8.318 1
  46.387    8.319 1
  46.388    8.320 1
  46.389    8.320 1
  46.390    8.320 1
  46.391    8.317 1
  46.391    8.317 1
  46.392    8.317 1
  46.393    8.318 1
  46.398    8.320 1
  46.400    8.318 1
  46.406    8.311 1
  46.404    8.304 1
  46.405    8.303 1
  46.407    8.300 1
  46.407    8.296 1
  46.407    8.295 1
  46.410    8.293 1
  46.413    8.298 1
  46.414    8.299 1
  46.417    8.301 1
  46.418    8.302 1
  46.423    8.306 1
  46.425    8.306 1
  46.425    8.307 1
  46.426    8.309 1
  46.425    8.311 1
  46.424    8.312 1
  46.424    8.316 1
  46.425    8.320 1
  46.426    8.323 1
  46.426    8.327 1
  46.428    8.329 1
  46.430    8.334 1
  46.432    8.340 1
  46.435    8.343 1
  46.438    8.344 1
  46.439    8.346 1
  46.441    8.351 1
  46.445    8.356 1
  46.448    8.358 1
  46.450    8.360 1
  46.453    8.368 1
  46.454    8.372 1
  46.453    8.377 1
  46.452    8.380 1
  46.451    8.382 1
  46.451    8.383 1
  46.453    8.385 1
  46.452    8.390 1
  46.452    8.394 1
  46.454    8.397 1
  46.456    8.398 1
  46.456    8.400 1
  46.455    8.404 1
  46.459    8.407 1
  46.460    8.408 1
  46.460    8.413 1
  46.459    8.417 1
  46.460    8.419 1
  46.462    8.425 1
  46.465    8.437 1
  46.463    8.439 1
  46.464    8.445 1
  46.462    8.450 1
  46.460    8.452 1
  46.458    8.453 1
  46.456    8.453 1
  46.455    8.455 1
  46.454    8.457 1
  46.451    8.462 1
  46.449    8.461 1
  46.446    8.463 1
  46.447    8.463 1
  46.445    8.466 1
  46.440    8.463 1
  46.439    8.460 1
  46.438    8.458 1
  46.436    8.457 1
  46.435    8.457 1
  46.434    8.458 1
  46.432    8.460 1
  46.430    8.459 1
  46.427    8.458 1
  46.425    8.457 1
  46.423    8.458 1
  46.421    8.459 1
  46.419    8.461 1
  46.418    8.463 1
  46.416    8.465 1
  46.412    8.467 1
  46.410    8.465 1
  46.406    8.463 1
  46.403    8.464 1
  46.397    8.470 1
  46.396    8.467 1
  46.392    8.464 1
  46.390    8.462 1
  46.389    8.462 1
  46.388    8.462 1
  46.386    8.464 1
  46.384    8.465 1
  46.382    8.466 1
  46.379    8.467 1
  46.370    8.466 1
  46.366    8.467 1
  46.363    8.471 1
  46.360    8.464 1
  46.359    8.463 1
  46.356    8.462 1
  46.355    8.461 1
  46.353    8.462 1
  46.351    8.462 1
  46.349    8.463 1
  46.345    8.463 1
  46.334    8.464 1
  46.330    8.460 1
  46.329    8.457 1
  46.329    8.456 1
  46.326    8.454 1
  46.325    8.454 1
  46.323    8.454 1
  46.322    8.444 1
  46.321    8.442 1
  46.319    8.440 1
  46.318    8.440 1
  46.314    8.441 1
  46.312    8.440 1
  46.310    8.438 1
  46.308    8.438 1
  46.305    8.441 1
  46.304    8.434 1
  46.304    8.432 1
  46.301    8.428 1
  46.300    8.428 1
  46.300    8.428 1
  46.299    8.428 1
  46.295    8.433 1
  46.292    8.434 1
  46.290    8.435 1
  46.288    8.436 1
  46.286    8.438 1
  46.281    8.446 1
  46.276    8.450 1
  46.266    8.456 1
  46.264    8.451 1
  46.263    8.450 1
  46.259    8.443 1
  46.257    8.442 1
  46.252    8.442 1
  46.250    8.443 1
  46.249    8.446 1
  46.249    8.450 1
  46.247    8.462 1
  46.246    8.464 1
  46.245    8.465 1
  46.240    8.465 1
  46.237    8.466 1
  46.236    8.467 1
  46.234    8.470 1
  46.233    8.473 1
  46.231    8.489 1
  46.231    8.492 1
  46.227    8.504 1
  46.225    8.507 1
  46.222    8.511 1
  46.221    8.512 1
  46.221    8.516 1
  46.222    8.519 1
  46.223    8.523 1
  46.220    8.532 1
  46.213    8.534 1
  46.208    8.536 1
  46.201    8.540 1
  46.200    8.542 1
  46.197    8.550 1
  46.195    8.554 1
  46.190    8.555 1
  46.189    8.556 1
  46.188    8.559 1
  46.187    8.565 1
  46.183    8.567 1
  46.181    8.568 1
  46.180    8.570 1
  46.177    8.570 1
  46.171    8.572 1
  46.167    8.573 1
  46.165    8.575 1
  46.165    8.577 1
  46.165    8.586 1
  46.164    8.588 1
  46.161    8.587 1
  46.160    8.587 1
  46.159    8.588 1
  46.158    8.590 1
  46.158    8.604 1
  46.155    8.604 1
  46.154    8.601 1
  46.154    8.600 1
  46.152    8.600 1
  46.150    8.597 1
  46.148    8.595 1
  46.144    8.595 1
  46.140    8.603 1
  46.137    8.607 1
  46.134    8.610 1
  46.132    8.610 1
  46.130    8.610 1
  46.127    8.611 1
  46.124    8.613 1
  46.123    8.616 1
  46.123    8.620 1
  46.124    8.629 1
  46.124    8.633 1
  46.124    8.641 1
  46.125    8.648 1
  46.117    8.656 1
  46.115    8.659 1
  46.111    8.670 1
  46.111    8.672 1
  46.112    8.676 1
  46.112    8.680 1
  46.109    8.681 1
  46.107    8.684 1
  46.104    8.688 1
  46.104    8.690 1
  46.105    8.694 1
  46.104    8.698 1
  46.097    8.713 1
  46.094    8.708 1
  46.091    8.706 1
  46.085    8.704 1
  46.078    8.704 1
  46.069    8.704 1
  46.063    8.710 1
  46.058    8.714 1
  46.052    8.716 1
  46.039    8.720 1
  46.027    8.720 1
  46.020    8.719 1
  46.015    8.715 1
  46.012    8.713 1
  46.009    8.711 1
  46.005    8.706 1
